positive_type	Expected CSO	Predicted CSO	N
tp	Head and neck	Plasma cell neoplasm	0
tp	Head and neck	Prostate	0
tp	Head and neck	Stomach, esophagus	0
tp	Head and neck	Thyroid gland	0
tp	Head and neck	Uterus	0
tp	Kidney	Anus	0
tp	Kidney	Bladder, urothelial	1
tp	Kidney	Bone and soft tissue	0
tp	Kidney	Breast	0
tp	Kidney	Cervix	0
tp	Kidney	Colon, rectum	1
tp	Kidney	Head and neck	0
tp	Kidney	Kidney	14
tp	Kidney	Liver, bile duct	0
tp	Kidney	Lung	1
tp	Kidney	Lymphoid lineage	0
tp	Kidney	Melanocytic lineage	0
tp	Kidney	Myeloid lineage	0
tp	Kidney	Neuroendocrine cells	0
tp	Kidney	Ovary	0
tp	Kidney	Pancreas, gallbladder	1
tp	Kidney	Plasma cell neoplasm	0
tp	Kidney	Prostate	0
tp	Kidney	Stomach, esophagus	0
tp	Kidney	Thyroid gland	0
tp	Kidney	Uterus	0
tp	Liver, bile duct	Anus	0
tp	Liver, bile duct	Bladder, urothelial	0
tp	Liver, bile duct	Bone and soft tissue	0
tp	Liver, bile duct	Breast	0
tp	Liver, bile duct	Cervix	0
tp	Liver, bile duct	Colon, rectum	0
tp	Liver, bile duct	Head and neck	0
tp	Liver, bile duct	Kidney	0
tp	Liver, bile duct	Liver, bile duct	40
tp	Liver, bile duct	Lung	0
tp	Liver, bile duct	Lymphoid lineage	0
tp	Liver, bile duct	Melanocytic lineage	0
tp	Liver, bile duct	Myeloid lineage	0
tp	Liver, bile duct	Neuroendocrine cells	0
tp	Liver, bile duct	Ovary	0
tp	Liver, bile duct	Pancreas, gallbladder	3
tp	Liver, bile duct	Plasma cell neoplasm	0
tp	Liver, bile duct	Prostate	0
tp	Liver, bile duct	Stomach, esophagus	0
tp	Liver, bile duct	Thyroid gland	0
tp	Liver, bile duct	Uterus	0
tp	Lung	Anus	0
tp	Lung	Bladder, urothelial	0
tp	Lung	Bone and soft tissue	1
tp	Lung	Breast	1
tp	Lung	Cervix	0
tp	Lung	Colon, rectum	0
tp	Lung	Head and neck	4
tp	Lung	Kidney	1
tp	Lung	Liver, bile duct	1
tp	Lung	Lung	220
tp	Lung	Lymphoid lineage	1
tp	Lung	Melanocytic lineage	0
tp	Lung	Myeloid lineage	0
tp	Lung	Neuroendocrine cells	6
tp	Lung	Ovary	0
tp	Lung	Pancreas, gallbladder	2
tp	Lung	Plasma cell neoplasm	0
tp	Lung	Prostate	2
tp	Lung	Stomach, esophagus	1
tp	Lung	Thyroid gland	0
tp	Lung	Uterus	0
tp	Lymphoid lineage	Anus	0
tp	Lymphoid lineage	Bladder, urothelial	0
tp	Lymphoid lineage	Bone and soft tissue	0
tp	Lymphoid lineage	Breast	0
tp	Lymphoid lineage	Cervix	0
tp	Lymphoid lineage	Colon, rectum	0
tp	Lymphoid lineage	Head and neck	1
