Lower	Upper	Sex	Exposure	scenario	predicted_CSO	found_using	total_cso_driven	ct	ls_css_one	ls_css_two	ls_os_one	ls_os_two	fp	true_CSO	false_CSO	total_ncso_driven	overall_ppv	ppv_first	ppv_cancer	ppv_xct	diagnostic_ls_css_first	diagnostic_ls_css_xct	diagnostic_ls_os_first	diagnostic_ls_os_xct	quant
55	59	Female	Any	old_3	Anus	cfdna	6.7132360322632305	337	0.1368078453247688	0.33164298490754496	0.13060958173230958	0.3156832969383943	2.6820686591557137	1.0053091594558938	1.3182811198578928	4.893996621019973	0.24228477463843534	0.07967620483144705	0.24666348400851396	0.13491106724751514	23.962217580430604	7.672626742600809	22.107625528451173	7.943296626382448	0.025
55	59	Female	Any	old_3	Anus	cfdna	9.534255342465004	337	0.22267998116822874	0.559599266633593	0.20879372487671205	0.5386201629087652	5.392446793724421	1.5991861071822797	2.154772034981396	7.716879558859889	0.3322724314726297	0.13031381284929539	0.3528176591562109	0.21740038952047533	35.870040292448465	11.132920268250166	35.47861034720434	11.486383851012661	0.25
55	59	Female	Any	old_3	Anus	cfdna	11.666568097995592	337	0.26839600299007016	0.6885965431246903	0.26119389409893434	0.6599267452208732	6.88060691372754	1.8988532893929433	2.6218562917259596	9.678334023684826	0.3958862431925688	0.16370730826435098	0.40769122324290724	0.27555290110156727	43.341360140826836	13.89532465139544	44.581750907087056	14.433501879780572	0.5
55	59	Female	Any	old_3	Anus	cfdna	13.650095110741201	337	0.30850192368799034	0.8425368170573002	0.31738078229500544	0.8121705673681894	9.000068975121458	2.1595135923718702	3.2037707899685675	11.802212358000538	0.4710914761633014	0.19419057984778587	0.48298867589991995	0.34624355624892744	54.40744071254283	17.750265151919884	57.781551373789185	18.434232733108786	0.75
55	59	Female	Any	old_3	Anus	cfdna	19.832000033461746	337	0.4266368968147754	1.1391419909300078	0.4679533331625827	1.108502236754867	14.565629727279575	2.8558500776007705	4.291223073635001	18.300913432195642	0.6197434487602079	0.2945073879908363	0.6108332141829693	0.4917648949469333	89.96157503204049	28.51982995833724	96.31606253543407	29.745058982546905	0.975
55	59	Female	Any	old_3	Bladder, urothelial	cfdna	3.5622714104684183	337	0.15777501069812921	0.03421494564059736	0.15182019369553856	0.03321542666939296	2.036089568760065	0.7942838843421103	0.2015543910244465	2.3176531320259084	0.11092094152394721	0.07580159368009443	0.6359570737013398	0.02346276057444044	12.218259701666412	32.4729078237673	12.617357842703658	33.52340791899244	0.025
55	59	Female	Any	old_3	Bladder, urothelial	cfdna	5.296126329075406	337	0.22737924752189556	0.04454662664110336	0.2180387745835979	0.043233195653908534	3.7702648605718188	1.0362414099987198	0.2563477960254043	4.076607408200257	0.1901770921372513	0.14550622511609262	0.7377553708276886	0.0450364050582119	18.024950758659852	64.13677257483577	18.720927523593268	66.37124964913201	0.25
55	59	Female	Any	old_3	Bladder, urothelial	cfdna	6.494982205443854	337	0.2783163919691741	0.05616752745361205	0.2686341368189247	0.054502964486269005	4.928091870337356	1.1988791027350234	0.32142053005332727	5.268517748554094	0.23241186548684134	0.18360777157491573	0.7904010535443304	0.06085080999441039	23.9324319663384	90.33058665618617	24.86257701189424	93.31832743150645	0.5
55	59	Female	Any	old_3	Bladder, urothelial	cfdna	8.203939203914421	337	0.34040407200352746	0.07454409193652514	0.3278492518947512	0.07236068080041405	6.591104521948786	1.4240127278958046	0.40180649586951184	6.964397709682513	0.2984469443870411	0.23571353728885389	0.8295571310510189	0.08450928638244114	30.578607490953054	127.6254915569511	31.731109547485982	132.0462164676587	0.75
55	59	Female	Any	old_3	Bladder, urothelial	cfdna	13.622092070658166	337	0.47143135123492086	0.1378674024322682	0.4563355635422578	0.13400390031672876	12.274628336210387	1.794177551682446	0.6701876258045716	12.58658806036669	0.4479837105634109	0.3463836145264122	0.8711713622847218	0.16139386055974764	60.67139750999462	233.74572416834525	64.83998866700466	242.12654844097688	0.975
55	59	Female	Any	old_3	Bone and soft tissue	cfdna	4.887522650200653	337	0.32982016744839115	0.09208256718261959	0.32057921838580566	0.08988817756924247	2.207664248362363	1.0921755896080105	0.510544659549024	3.069553018191109	0.21980825186183933	0.11958732786762594	0.3826341338379144	0.07585485063401348	7.876830017337786	12.052652586496794	8.113554363772739	12.218253315984397	0.025
55	59	Female	Any	old_3	Bone and soft tissue	cfdna	7.072147428165123	337	0.5161842960386396	0.1839422219998733	0.5000682652927788	0.17821401159940292	3.9809764571232242	1.6990112499023717	0.9539881770992789	5.230877046551502	0.3220657879497296	0.1813747320331201	0.5265772601270087	0.14019257557934697	11.274855106417299	18.90992666918851	11.651731680102326	19.302805518897657	0.25
55	59	Female	Any	old_3	Bone and soft tissue	cfdna	8.886478306714903	337	0.6311212849285648	0.2536331380173955	0.6126726833106213	0.24600680340266812	5.469264012350536	2.0323252151160656	1.255153961052836	6.866598215850347	0.3870460890762433	0.22751441052026333	0.6171256399290675	0.19415112352178687	14.42397839582095	26.068481651172014	14.881444082942878	26.615662933518706	0.5
55	59	Female	Any	old_3	Bone and soft tissue	cfdna	10.726891862306596	337	0.7409231632885938	0.3421846792497036	0.7186396049198323	0.3337282822620778	6.841826031105933	2.4257293933665327	1.6766796219303084	8.540305699509345	0.4523211474044955	0.28528359517690827	0.6918086464940743	0.2589247076134087	17.855539263304436	36.047774379282224	18.373416605326597	36.64940876218858	0.75
