Cancer	NET	Expected CSO	Sex	Predicted CSO	final_confusion	mode_found
Bladder	No	Bladder, urothelial	Female	Neuroendocrine cells	0.007963988919667592	cfdna
Bladder	No	Bladder, urothelial	Male	Ovary	0	cfdna
Bladder	No	Bladder, urothelial	Female	Ovary	0.004616805170821792	cfdna
Bladder	No	Bladder, urothelial	Male	Pancreas, gallbladder	0.013740458015267175	cfdna
Bladder	No	Bladder, urothelial	Female	Pancreas, gallbladder	0.013157894736842108	cfdna
Bladder	No	Bladder, urothelial	Male	Plasma cell neoplasm	0.004218561671353958	cfdna
Bladder	No	Bladder, urothelial	Female	Plasma cell neoplasm	0.004039704524469069	cfdna
Bladder	No	Bladder, urothelial	Male	Prostate	0.005544395339493772	cfdna
Bladder	No	Bladder, urothelial	Female	Prostate	0	cfdna
Bladder	No	Bladder, urothelial	Male	Stomach, esophagus	0.012294094013660106	cfdna
Bladder	No	Bladder, urothelial	Female	Stomach, esophagus	0.011772853185595572	cfdna
Bladder	No	Bladder, urothelial	Male	Thyroid gland	1.2053033346725595e-4	cfdna
Bladder	No	Bladder, urothelial	Female	Thyroid gland	1.1542012927054482e-4	cfdna
Bladder	No	Bladder, urothelial	Male	Uterus	0	cfdna
Bladder	No	Bladder, urothelial	Female	Uterus	0.00646352723915051	cfdna
Breast	NotExpected	Breast	Male	Anus	3.1099802092168517e-4	cfdna
Breast	NotExpected	Breast	Female	Anus	2.9418057338468127e-4	cfdna
Breast	NotExpected	Breast	Male	Bladder, urothelial	2.261803788521347e-4	cfdna
Breast	NotExpected	Breast	Female	Bladder, urothelial	2.1394950791613182e-4	cfdna
Breast	NotExpected	Breast	Male	Bone and soft tissue	2.4031665253039308e-4	cfdna
Breast	NotExpected	Breast	Female	Bone and soft tissue	2.2732135216089005e-4	cfdna
Breast	NotExpected	Breast	Male	Breast	0.9590519272453119	cfdna
Breast	NotExpected	Breast	Female	Breast	0.9472614462986736	cfdna
Breast	NotExpected	Breast	Male	Cervix	0	cfdna
Breast	NotExpected	Breast	Female	Cervix	1.0697475395806591e-4	cfdna
Breast	NotExpected	Breast	Male	Colon, rectum	0.01486193572707568	cfdna
Breast	NotExpected	Breast	Female	Colon, rectum	0.014575310226786478	cfdna
Breast	NotExpected	Breast	Male	Head and neck	0.0015267175572519092	cfdna
Breast	NotExpected	Breast	Female	Head and neck	0.0014441591784338896	cfdna
Breast	NotExpected	Breast	Male	Kidney	2.5445292620865156e-4	cfdna
Breast	NotExpected	Breast	Female	Kidney	2.4069319640564833e-4	cfdna
Breast	NotExpected	Breast	Male	Liver, bile duct	7.068136839129208e-4	cfdna
Breast	NotExpected	Breast	Female	Liver, bile duct	6.685922122379119e-4	cfdna
Breast	NotExpected	Breast	Male	Lung	0.00957968146263312	cfdna
Breast	NotExpected	Breast	Female	Lung	0.00932017543859649	cfdna
Breast	NotExpected	Breast	Male	Lymphoid lineage	0.0017670342097823022	cfdna
Breast	NotExpected	Breast	Female	Lymphoid lineage	0.0016714805305947798	cfdna
Breast	NotExpected	Breast	Male	Melanocytic lineage	9.895391574780894e-5	cfdna
Breast	NotExpected	Breast	Female	Melanocytic lineage	9.360290971330767e-5	cfdna
Breast	NotExpected	Breast	Male	Myeloid lineage	1.4136273678258419e-5	cfdna
Breast	NotExpected	Breast	Female	Myeloid lineage	1.3371844244758239e-5	cfdna
Breast	NotExpected	Breast	Male	Neuroendocrine cells	9.754028837998308e-4	cfdna
Breast	NotExpected	Breast	Female	Neuroendocrine cells	9.226572528883185e-4	cfdna
Breast	NotExpected	Breast	Male	Ovary	0	cfdna
Breast	NotExpected	Breast	Female	Ovary	5.348737697903295e-4	cfdna
Breast	NotExpected	Breast	Male	Pancreas, gallbladder	0.007784374705494301	cfdna
Breast	NotExpected	Breast	Female	Pancreas, gallbladder	0.007621951219512195	cfdna
Breast	NotExpected	Breast	Male	Plasma cell neoplasm	4.947695787390446e-4	cfdna
Breast	NotExpected	Breast	Female	Plasma cell neoplasm	4.680145485665384e-4	cfdna
Breast	NotExpected	Breast	Male	Prostate	6.502685891998871e-4	cfdna
Breast	NotExpected	Breast	Female	Prostate	0	cfdna
Breast	NotExpected	Breast	Male	Stomach, esophagus	0.0014418999151823587	cfdna
Breast	NotExpected	Breast	Female	Stomach, esophagus	0.0013639281129653404	cfdna
Breast	NotExpected	Breast	Male	Thyroid gland	1.4136273678258419e-5	cfdna
Breast	NotExpected	Breast	Female	Thyroid gland	1.3371844244758239e-5	cfdna
Breast	NotExpected	Breast	Male	Uterus	0	cfdna
